Name                                    Type     CAS         Formula         pKa
Indole                                   NH    120-72-9       C8H7N          32.57
Triazine3                                NH    1354970-98-1   C14H28N6       30.86
7-NO2-Indole                             NH    6960-42-5      C8H6N2O2       29.99
Indoxyl_acetate                          NH    608-08-2       C10H9NO2       29.97
Phenol                                   OH    108-95-2        C6H6O         29.2 
tBu4Box2CH2                              CH    2128672-84-2   C31H42N2O2     28.85
4-CN-2,3,5,6-F4-Aniline                  NH    17823-38-0     C7H2F4N2       28.78
2,3,4,5,6-(CF3)5-Toluene                 CH    1018330-43-2   C12H3F15       28.77 
5-NO2-Indole                             NH    6146-52-7      C8H6N2O2       28.18
9-C6F5-Fluorene                          CH    73482-93-6     C19H9F5        28.14
1-(4-Cl-C6H4)-3-(3,4-Cl2-C6H3)urea       NH    101-20-2       C13H9Cl3N2O    27.95 
4-NO2-Indole                             NH    4769-97-5      C8H6N2O2       27.89
6-NO2-Indole                             NH    4769-96-4      C8H6N2O2       27.79
Me2Box2CH2                               CH    665011-18-7    C17H14N2O2     27.59
(3,5-(CF3)2-C6H3)3COH                    OH    2376448 -26-7  C25H10F18O     27.21
C6H5-CH2-Tf                              CH    4855-02-1      C8H7F3O2S      27.19
1,2,3,4-F4-9-Ph-Fluorene                 CH    77758-24-8     C19H10F4       27.12
4-Cl-C6H4-CH2-Tf                         CH    130774-57-1    C8H6ClF3O2S    27.06
4-F-C6H4-CH2-Tf                          CH    2408-04-0      C8H6F4O2S      27.00
(Ph)(4-Me-C6F4)CHCN                      CH    58432-62-5     C15H9F4N       26.98
4-Me-C6H4-SO2-NH2                        NH    70-55-3        C7H9NO2S       26.95
Box2CH2                                  CH    7210-08-4      C15H10N2O2     26.89
(4-NC5F4)(4-Me-C6H4)NH                   NH    210486-32-1    C12H8F4N2      26.87
Ph-SO2-NH2                               NH    98-10-2        C6H7NO2S       26.63
Triazine2                                NH    1354970-97-0   C23H22N6       26.58
3-CF3-Phenol                             OH    98-17-9        C7H5F3O        26.5
C6F5-NH-COMe                             NH    653-22-5       C8H4F5NO       26.45
(Ph)(4-NC5F4)NH                          NH    39077-43-5     C11H6F4N2      26.36
(4-NO2-C6H4)2NH                          NH    1821-27-8      C12H9N3O4      26.18
4-NO2-Indolocarbazole                    NH    1448617-67-1   C18H11N3O2     26.18
4-F-C6H4-SO2-NH2                         NH    402-46-0       C6H6FNO2S      26.16
SBoxCH2                                  CH    1945-78-4      C15H10N2S2     26.16
(Ph)(C6F5)CHCN                           CH    42238-33-5     C14H6F5N       26.16
3-CN-Indole                              NH    5457-28-3      C9H6N2         26.01
4-Cl-C6H4-SO2-NH2                        NH    98-64-6        C6H6ClNO2S     25.85
Triazine1                                NH    5725-45-1      C21H18N6       25.85
3-F-C6H4-CH2-Tf                          CH    2408-22-2      C8H6F4O2S      25.62
4-CF3-Phenol                             OH    402-45-9       C7H5F3O        25.5
3-Cl-C6H4-CH2-Tf                         CH    1449332-70-0   C8H6ClF3O2S    25.47
4-CF3-C6H4-SO2-NH2                       NH    830-43-3       C7H6F3NO2S     25.24
3-CF3-C6H4-SO2-NH2                       NH    672-58-2       C7H6F3NO2S     25.20
(4-Me2N-C6F4)(C6F5)NH                    NH    80588-34-7     C14H7F9N2      25.13
3-CF3-C6H4-CH2-Tf                        CH    1267525-01-8   C9H6F6O2S      25.08
(4-Me-C6F4)(C6F5)NH                      NH    80588-36-9     C13H4F9N       24.96 
2-CF3-Phenol                             OH    444-30-4       C7H5F3O        24.90
1,3-Bis(4-NO2-C6H4)urea                  NH    587-90-6       C13H10N4O5     24.71
3-NO2-C6H4-SO2-NH2                       NH    121-52-8       C6H6N2O4S      24.63
2,3,4,5,6-(CF3)5-Aniline                 NH    58956-76-6     C11H2F15N      24.57
4-NO2-C6H4-SO2-NH2                       NH    6325-93-5      C6H6N2O4S      24.57
3-CN-C6H4-CH2-Tf                         CH    1449332-69-7   C9H6F3NO2S     24.51
Octafluorofluorene                       CH    27053-34-5     C13H2F8        24.49
4-CF3-C6H4-CH2-Tf                        CH    194222-97-4    C9H6F6O2S      24.44
3,5-(CF3)2-Ph-C-thiourea                 NH    454203-57-7    C15H16F6N2S    24.31 
(4-H-C6F4)(C6F5)NH                       NH    3752-73-6      C12H2F9N       24.11
C6F5-NH-C(CF3)3                          NH    1580000-57-2   C10HF14N       24.03 
(C6F5)2NH                                NH    1535-92-8      C12HF10N       23.98
3,5-F2-C6H3-CH2-Tf                       CH                   C8H5F5O2S      23.96
Fluoradene                               CH    205-94-7       C19H12         23.92
2,4,6-(NO2)3-Aniline                     NH    489-98-5       C6H4N4O6       23.87
3,5-(CF3)2-Phenol                        OH    349-58-6       C8H4F6O        23.8
2-NO2-Indole                             NH    193686-70-3    C8H6N2O2       23.64
9-COOMe-Fluorene                         CH    3002-30-0      C15H12O2       23.54
Acetic_acid                              OH    64-19-7        C2H4O2         23.5
(4-Cl-C6F4)(C6F5)NH                      NH    80588-40-5     C12HClF9N      23.22
4-CN-C6H4-CH2-Tf                         CH    73622-52-3     C9H6F3NO2S     23.19
Sorbic_acid                              OH    110-44-1       C6H8O2         22.97
C6F5-CH(COOEt)2                          CH    1582-05-4      C13H11F5O4     22.88
2-NO2-Phenol                            OH    88-75-5        C6H5NO3        22.85
3,5-(CF3)2-C6H3-CH2-Tf                   CH    434957-15-0    C10H5F9O2S     22.84
(4-Me-C6F4)2CHCN                         CH    58432-44-3     C16H7F8N       22.80
Retinoic_acid                            OH    302-79-4       C20H28O2       22.78
3-NO2-Indole                             NH    4770-03-0      C8H6N2O2       22.77
C6F5-SO2-NH2                             NH    778-36-9       C6H2F5NO2S     22.27
(4-Me-C6F4)(C6F5)CHCN                    CH    52345-34-3     C15H4F9N       21.94
4-NO2-C6H4-CH2-Tf                        CH    213542-80-4    C8H6F3NO4S     21.92
Benzoic_acid                             OH    65-85-0        C7H6O2         21.5
(4-CF3-C6H4)(C6F5)NH                     NH    36375-81-2     C13H8F5N       21.37
9-CN-Fluorene                            CH    1529-40-4      C14H9N         21.35
Alizarin                                 OH    72-48-0        C14H8O4        21.23
(4-H-C6F4)(C6F5)CHCN                     CH    42254-09-1     C14H2F9N       21.10
(C6F5)2CHCN                              CH    42238-34-6     C14HF10N       21.09
4-CF3-C6F4-CH2-Tf                        CH                   C9H2F10O2S     21.02 
(CF3)3COH                                OH    2378-02-1      C4HF9O         20.5
(4-NC5F4)(C6F5)NH                        NH    80588-46-1     C11HF9N2       20.39
(4-Cl-C6F4)(C6F5)CHCN                    CH    42238-36-8     C14HClF9N      20.36
2,4,6-Br3-Phenol                         OH    118-79-6       C6H3Br3O       20.34
2,3,4,5,6-(CN)5-Toluene                 CH    1213-77-0      C12H3N5        20.14
(2,4,6-Cl3-C6F2)(C6F5)CHCN               CH    64934-69-6     C14HCl3F7N     20.13
2,3,5,6-F4-Phenol                        OH    769-39-1       C6H2F4O        20.1
2,3,4,5,6-F5-Phenol                      OH    771-61-9       C6HF5O         20.1
(2-C10F7)(C6F5)CHCN                      CH    64934-68-5     C18HF12N       20.07
(4-CN-C6F4)(C6F5)NH                      NH    38727-34-3     C13HF9N2       19.87
1-C10F7-OH                               OH    5386-30-1      C10HF7O        19.7
2,4,6-(SO2F)3-Aniline                    NH    133213-11-3    C6H4F3NO6S3    19.66
(2-C10F7)2CHCN                           CH    62325-38-6     C22HF14N       19.32
Br4-CA-benzoic_acid                      OH    1269510-74-8   C14H13Br4NO3   19.20
9-C6F5-Octafluorofluorene                CH    63264-80-2     C19HF13        18.87
2-C10F7-OH                               OH    727-49-1       C10HF7O        18.5
[4-(Ph3B)-2,6-Mes2-Pyridine]H            NH    2249843-76-1   C41H40BN       18.45
(4-NC5F4)(4-CF3-C6F4)NH                  NH    92916-62-6     C12HF11N2      18.25
(4-CF3-C6F4)(C6F5)CHCN                   CH    42238-35-7     C15HF12N       18.13
